,grid_res,l2_loss,l2_mat,l2_pinn,type
0,2,[0.35998288],0.76987576,0.010361168,Poisson_mat
1,10,[9.107404e-07],0.01880723,5.755916e-05,Poisson_mat
2,100,[0.00024378],3.7678856e-04,3.7835896e-04,Poisson_mat
3,300,[0.00923936],0.000970287,0.00097257894,Poisson_mat
4,600,[0.00670539],0.0010900811,0.0010881799,Poisson_mat
5,1000,[1.6828659],0.00055095437,0.0005514773,Poisson_mat
6,3000,[7.6521106],0.0016619836,0.0016283981,Poisson_mat
7,6000,[18161.988],0.00075643306,0.00010481546,Poisson_mat
8,10000,[76.55057],0.006791677,0.0067865946,Poisson_mat
9,100000,[76.55057],0.001791677,0.00037865946,Poisson_mat